modelReduit;S;PLF;CF;CW;a;b;c
Court-courrier;157.86;0.796;0.26;[1,1,1.5,1.5];0.000007;2.775;1260.608
Long-courrier;302.58;0.82;0.26;[1,1.5,4,5];0.00029;3.475;3259.691
4000;8;0.82;0.5;[1,1.5,4,5];;;
737;189;0.796;0.36;[1,1,1.5,1.5];0.00016;1.454;1531.722
767;278;0.82;0.35;[1,1.5,4,5];;;
777;365;0.82;0.32;[1,1.5,4,5];0.00034;6.112;3403.041
777F;0;0;0.94;[1,1,1,1];;;
A319;124;0.796;0.26;[1,1,1.5,1.5];;;
A320;150;0.796;0.31;[1,1,1.5,1.5];;;
A321;185;0.796;0.34;[1,1,1.5,1.5];;;
A330;287;0.82;0.06;[1,1.5,4,5];0.00034;4.384;2457.737
BD5;115;0.796;0.26;[1,1,1.5,1.5];;;
CL6;88;0.796;0.27;[1,1,1.5,1.5];;;
ERJ;91;0.796;0.29;[1,1,1.5,1.5];;;
